id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
2607752,PE,8221,23986,74,0.8827,30,122.13,36.81,38,0,0,0
2614808,PE,7343,23884,1265,0.80867,30,101.23,39.5,8238,5186,340,0
2601102,PE,27498,85065,2037,0.81237,30,94.99,36.45,63,0,134,0
2202653,PI,1768,5482,491,0.70396,30,107.16,38.37,0,0,0,0
2204402,PI,3373,10869,3496,0.82649,30,102.45,40.25,23,0,371,0
2208700,PI,2573,8369,2471,0.82074,30,104.93,39.84,8,0,601,0
2207603,PI,3034,10095,3429,0.82966,30,110.44,38.8,27,0,0,0
2208908,PI,1866,6151,3987,0.83291,30,105.4,39,4,0,0,0
2209971,PI,2534,8180,213,0.76953,30,102.52,42.57,5,0,18,0
2206696,PI,2952,9784,476,0.69751,30,105.39,40.29,3,0,0,0
2206100,PI,3202,10641,227,0.74133,30,100.36,42.02,2,0,190,138
2205854,PI,2262,8031,179,0.74317,30,101.76,34.95,3,0,0,0
2204550,PI,1313,4272,3118,0.73389,30,102.37,33.89,0,0,0,0
2202901,PI,8573,27173,3049,0.86719,30,102.19,40.58,29,0,0,0
4117602,PR,16310,48101,1558,0.93862,30,95.61,33.96,1149,725,1647,0
4107652,PR,50435,148712,117,0.97374,30,95.91,22.11,197,0,0,0
4111258,PR,10515,31203,323,0.93339,30,100.79,28.08,13,0,0,0
2410306,RN,3209,10108,218,0.76168,30,100.89,44.07,5,0,0,0
2409506,RN,1093,3598,221,0.76645,30,102.24,41.97,2,0,0,0
2410405,RN,3027,9346,504,0.77611,30,102.64,39.59,31,0,1,0
2413359,RN,4239,13060,620,0.81578,30,102.87,33.09,11,0,0,0
2415008,RN,987,3173,48,0.79545,30,102.42,32.81,3,0,3,0
2405801,RN,10870,33204,715,0.79853,30,99.13,39.69,2421,0,63,0
2404200,RN,8322,26736,192,0.84508,30,96.16,31.85,520,0,0,0
2413201,RN,1251,4058,26,0.82151,30,98.58,35.19,6,0,1,0
2402204,RN,9169,29626,245,0.80651,30,95.73,34.38,739,0,4,0
2408805,RN,1492,4795,231,0.76884,30,98.39,44.44,2,0,0,0
1100809,RO,7431,22282,6844,0.91864,30,105.77,29.36,137,0,0,0
1100924,RO,3206,9285,5127,0.92635,30,103.09,22.85,318,265,0,0
1101104,RO,2910,8543,4082,0.90312,30,108.9,30.5,15,0,0,0
1100940,RO,5203,14825,3864,0.92336,30,107.38,24.62,37,0,0,0
1100080,RO,4161,12526,4987,0.92934,30,107.41,27.42,1214,0,1338,58
4211058,SC,3167,9107,191,0.91897,30,101.17,38.47,7,0,0,0
4201307,SC,15025,45214,387,0.96995,30,102.84,21.9,389,323,480,0
4205175,SC,1173,3402,104,0.91483,30,101.42,39.19,1254,1116,0,0
4218251,SC,2520,7334,596,0.92554,30,106.29,29.46,12,0,0,0
2807600,SE,8285,23906,118,0.81866,30,91.8,34.25,22,0,0,0
2801504,SE,4689,13840,46,0.87995,30,91.13,25.21,14,0,0,0
2802007,SE,1453,4340,91,0.8265,30,98.81,31.42,1,0,0,0
2806404,SE,2366,7342,44,0.8273,30,98.11,30.16,9,0,0,0
2803005,SE,13332,40625,502,0.7816,30,96.22,37.92,24,0,0,0
2804805,SE,67033,191979,155,0.91827,30,90.11,23.32,476,0,133,0
2805901,SE,2815,8732,78,0.87222,30,92.48,29.82,11,0,279,264
2804904,SE,4190,12490,381,0.75515,30,98.19,35.96,2,0,17,16
3507159,SP,1175,3554,134,0.94215,30,104.31,34.1,0,0,0,0
3510153,SP,2077,6281,57,0.93679,30,96.59,34.82,12,0,0,0
1720309,TO,1235,4100,290,0.82883,30,105.72,31.84,1,0,0,0
1715259,TO,704,2210,1214,0.82502,30,104.21,38.62,3,0,0,0
1706506,TO,1990,5807,1642,0.89851,30,104.82,33.95,2,0,0,0
